Series,Episode,Episode Title,IMDb Rating (/10)
S16,E10,Always Forks and Marbles,8.1
S17,E1,Grappling with My Life,7.5
S17,E2,Jumungo,7.4
S17,E3,Some Impropriety?,7.5
S17,E4,Apropos of Apoppo,7.4
S17,E5,Snooker Cue Umbrella Chin,7.3
S17,E6,A Three-Ring Man,7.7
S17,E7,Dream Date Territory,7.5
S17,E8,The Umbrella Wink,7.8
S17,E9,Assistantbury,7.3
S17,E10,Ambience and Information,7.7
S18,E1,The Faceless Facilitators,7
S18,E2,...And Then a Detective Comes In,7.1
S18,E3,The Gangsters of the Sea,7.7
S18,E4,I'm a Girl Who Likes a Clean Line,7.2
S18,E5,Big Stupid Things,7.9
S18,E6,A Dance as Old as Time Itself,7.8
S18,E7,Captain Jackie and the Hotdog,7.7
S18,E8,The Nexus of Truth,7.8
S18,E9,The Cockle Children,7.6
S18,E10,Le Goose,7.6
