Series,Episode,IMDb Rating,Volatility,Average Points,Point Variance,Rank Spread,Lead Changes,Max Points,Min Points,Point Range,Comeback Index,Tension,Score Skewness,Winner Dominance,Lead Retention,Score StdDev,Winner Diversity,Winner Margin Slope
4,5,8.2,0.375,2.71875,3.3271484375,1.411441615471389,2,5.0,0.0,5.0,0.0,0.0,-0.3631734744194293,4.5,7,1.7686926311261817,4,
4,6,7.9,1.0526315789473684,2.75,3.044642857142857,1.6853729443127605,5,5.0,0.0,5.0,,3.0,0.6927284074925387,4.5,4,1.5550702891550483,5,
4,7,8.2,0.9615384615384616,2.787878787878788,2.1671258034894403,1.3633797976636433,4,5.0,0.0,5.0,-1.0,0.0,-1.4286267334338272,2.0,3,1.4101543717519718,4,
4,8,8.4,0.44,2.7666666666666666,2.778888888888888,1.5289440568712884,1,5.0,0.0,5.0,3.0,1.0,0.16002650157186943,5.5,4,1.562350153169667,4,2.0285714285714285
6,1,7.5,0.42105263157894735,2.6666666666666665,3.0370370370370363,1.515043479645015,4,5.0,0.0,5.0,0.0,0.0,-0.5418228971697727,4.5,3,1.5171977515639683,4,
6,2,7.6,1.36,2.433333333333333,2.845555555555556,1.2634846881112647,3,5.0,0.0,5.0,0.0,5.0,1.3532751773025942,5.5,6,1.6249762315129737,4,0.9142857142857143
6,3,7.4,0.45,3.12,2.1856,1.5610520237826642,2,6.0,1.0,5.0,0.0,3.0,-0.7456435718389564,8.0,2,0.9221114648370324,4,1.5
6,4,7.5,1.0666666666666667,3.0285714285714285,3.227755102040817,1.1553609547803962,3,5.0,0.0,5.0,-1.0,1.0,-0.13802317223309082,3.5,2,1.759985814357827,4,0.7857142857142857
6,5,7.8,0.48,3.566666666666667,2.1122222222222216,1.5452605789821314,3,5.0,1.0,4.0,-1.0,1.0,-0.10627765263300512,5.75,4,1.278968090170484,4,1.2857142857142858
6,6,7.6,0.32,2.9,2.8233333333333333,1.626096229142015,2,5.0,0.0,5.0,-1.0,3.0,0.07797780653693187,7.0,4,1.518489544724164,5,0.4285714285714286
6,7,7.8,0.6,2.9,2.623333333333333,1.6414597663060082,4,5.0,0.0,5.0,3.0,1.0,0.10880269824165077,4.5,3,1.5416757788156803,4,0.6857142857142857
